# H2O modified n0 1.16
# Taken from new n0 results
# (W. Rocha, 16-04-2022 dd/mm/yyyy)
# First line is N_lam and rho [g/cm^3], other lines are: lambda[um] n k
  3000  0.940
      0.68338     1.16114     0.00064
      0.68994     1.16098     0.00064
      0.69651     1.16107     0.00064
      0.70307     1.16110     0.00064
      0.70964     1.16081     0.00064
      0.71620     1.16063     0.00064
      0.72277     1.16034     0.00064
      0.72934     1.16002     0.00064
      0.73590     1.15990     0.00064
      0.74247     1.15956     0.00064
      0.74903     1.15952     0.00064
      0.75560     1.15941     0.00064
      0.76216     1.15931     0.00064
      0.76873     1.15920     0.00064
      0.77530     1.15909     0.00064
      0.78186     1.15899     0.00064
      0.78843     1.15888     0.00064
      0.79499     1.15877     0.00064
      0.80156     1.15863     0.00064
      0.80812     1.15849     0.00064
      0.81469     1.15835     0.00064
      0.82125     1.15821     0.00064
      0.82782     1.15807     0.00064
      0.83439     1.15793     0.00064
      0.84095     1.15779     0.00064
      0.84752     1.15765     0.00064
      0.85408     1.15751     0.00064
      0.86065     1.15736     0.00064
      0.86721     1.15722     0.00064
      0.87378     1.15708     0.00064
      0.88035     1.15694     0.00064
      0.88691     1.15680     0.00064
      0.89348     1.15666     0.00064
      0.90004     1.15652     0.00064
      0.90661     1.15638     0.00064
      0.91317     1.15624     0.00064
      0.91974     1.15610     0.00064
      0.92631     1.15598     0.00064
      0.93287     1.15586     0.00064
      0.93944     1.15575     0.00064
      0.94600     1.15564     0.00064
      0.95257     1.15556     0.00064
      0.95913     1.15548     0.00064
      0.96570     1.15541     0.00064
      0.97227     1.15533     0.00064
      0.97883     1.15525     0.00064
      0.98540     1.15518     0.00064
      0.99196     1.15510     0.00064
      0.99853     1.15502     0.00064
      1.00509     1.15495     0.00064
      1.01166     1.15487     0.00064
      1.01823     1.15479     0.00064
      1.02479     1.15472     0.00064
      1.03136     1.15464     0.00064
      1.03792     1.15456     0.00064
      1.04449     1.15449     0.00064
      1.05105     1.15441     0.00064
      1.05762     1.15433     0.00064
      1.06419     1.15426     0.00064
      1.07075     1.15418     0.00064
      1.07732     1.15410     0.00064
      1.08388     1.15403     0.00064
      1.09045     1.15395     0.00064
      1.09701     1.15388     0.00064
      1.10358     1.15380     0.00064
      1.11015     1.15373     0.00064
      1.11671     1.15366     0.00064
      1.12328     1.15359     0.00064
      1.12984     1.15352     0.00064
      1.13641     1.15345     0.00064
      1.14297     1.15338     0.00064
      1.14954     1.15331     0.00064
      1.15610     1.15324     0.00064
      1.16267     1.15317     0.00064
      1.16924     1.15310     0.00064
      1.17580     1.15303     0.00064
      1.18237     1.15296     0.00064
      1.18893     1.15289     0.00064
      1.19550     1.15282     0.00064
      1.20206     1.15275     0.00064
      1.20863     1.15268     0.00064
      1.21520     1.15261     0.00064
      1.22176     1.15254     0.00064
      1.22833     1.15245     0.00064
      1.23489     1.15236     0.00064
      1.24146     1.15227     0.00064
      1.24802     1.15217     0.00064
      1.25459     1.15207     0.00064
      1.26116     1.15197     0.00064
      1.26772     1.15186     0.00064
      1.27429     1.15176     0.00064
      1.28085     1.15166     0.00064
      1.28742     1.15156     0.00064
      1.29398     1.15146     0.00064
      1.30055     1.15135     0.00064
      1.30712     1.15125     0.00064
      1.31368     1.15115     0.00064
      1.32025     1.15105     0.00064
      1.32681     1.15094     0.00064
      1.33338     1.15084     0.00064
      1.33994     1.15074     0.00064
      1.34651     1.15064     0.00064
      1.35308     1.15054     0.00064
      1.35964     1.15043     0.00064
      1.36621     1.15033     0.00064
      1.37277     1.15023     0.00064
      1.37934     1.15015     0.00064
      1.38590     1.15006     0.00064
      1.39247     1.14997     0.00064
      1.39904     1.14988     0.00064
      1.40560     1.14980     0.00064
      1.41217     1.14972     0.00064
      1.41873     1.14964     0.00064
      1.42530     1.14955     0.00064
      1.43186     1.14947     0.00064
      1.43843     1.14939     0.00064
      1.44500     1.14930     0.00064
      1.45156     1.14922     0.00064
      1.45813     1.14914     0.00064
      1.46469     1.14906     0.00064
      1.47126     1.14897     0.00064
      1.47782     1.14889     0.00064
      1.48439     1.14881     0.00064
      1.49095     1.14872     0.00064
      1.49752     1.14864     0.00064
      1.50409     1.14856     0.00064
      1.51065     1.14848     0.00064
      1.51722     1.14839     0.00064
      1.52378     1.14831     0.00064
      1.53035     1.14823     0.00064
      1.53691     1.14814     0.00064
      1.54348     1.14806     0.00064
      1.55005     1.14798     0.00064
      1.55661     1.14790     0.00064
      1.56318     1.14781     0.00064
      1.56974     1.14773     0.00064
      1.57631     1.14763     0.00064
      1.58287     1.14751     0.00064
      1.58944     1.14740     0.00064
      1.59601     1.14728     0.00064
      1.60257     1.14714     0.00064
      1.60914     1.14698     0.00064
      1.61570     1.14683     0.00064
      1.62227     1.14668     0.00064
      1.62883     1.14652     0.00064
      1.63540     1.14637     0.00064
      1.64197     1.14622     0.00064
      1.64853     1.14606     0.00064
      1.65510     1.14591     0.00064
      1.66166     1.14576     0.00064
      1.66823     1.14560     0.00064
      1.67479     1.14545     0.00064
      1.68136     1.14530     0.00064
      1.68793     1.14514     0.00064
      1.69449     1.14499     0.00064
      1.70106     1.14482     0.00064
      1.70762     1.14463     0.00064
      1.71419     1.14444     0.00064
      1.72075     1.14425     0.00064
      1.72732     1.14406     0.00064
      1.73389     1.14386     0.00064
      1.74045     1.14367     0.00064
      1.74702     1.14348     0.00064
      1.75358     1.14329     0.00064
      1.76015     1.14310     0.00064
      1.76671     1.14291     0.00064
      1.77328     1.14272     0.00064
      1.77985     1.14252     0.00064
      1.78641     1.14233     0.00064
      1.79298     1.14214     0.00064
      1.79954     1.14195     0.00064
      1.80611     1.14174     0.00064
      1.81267     1.14153     0.00064
      1.81924     1.14133     0.00064
      1.82581     1.14111     0.00064
      1.83237     1.14089     0.00064
      1.83894     1.14066     0.00064
      1.84550     1.14044     0.00064
      1.85207     1.14022     0.00064
      1.85863     1.13999     0.00064
      1.86520     1.13977     0.00064
      1.87176     1.13954     0.00064
      1.87833     1.13932     0.00064
      1.88490     1.13910     0.00064
      1.89146     1.13887     0.00064
      1.89803     1.13865     0.00064
      1.90459     1.13842     0.00064
      1.91116     1.13820     0.00064
      1.91772     1.13798     0.00064
      1.92429     1.13775     0.00064
      1.93086     1.13748     0.00064
      1.93742     1.13721     0.00064
      1.94399     1.13694     0.00064
      1.95055     1.13665     0.00064
      1.95712     1.13633     0.00064
      1.96368     1.13600     0.00064
      1.97025     1.13568     0.00064
      1.97682     1.13536     0.00064
      1.98338     1.13504     0.00064
      1.98995     1.13471     0.00064
      1.99651     1.13439     0.00064
      2.00308     1.13407     0.00064
      2.00964     1.13375     0.00064
      2.01621     1.13342     0.00064
      2.02278     1.13310     0.00064
      2.02934     1.13277     0.00064
      2.03591     1.13244     0.00064
      2.04247     1.13211     0.00064
      2.04904     1.13178     0.00064
      2.05560     1.13141     0.00064
      2.06217     1.13105     0.00064
      2.06874     1.13069     0.00064
      2.07530     1.13032     0.00064
      2.08187     1.12996     0.00064
      2.08843     1.12959     0.00064
      2.09500     1.12923     0.00064
      2.10156     1.12887     0.00064
      2.10813     1.12850     0.00064
      2.11470     1.12814     0.00064
      2.12126     1.12777     0.00064
      2.12783     1.12738     0.00064
      2.13439     1.12695     0.00064
      2.14096     1.12653     0.00064
      2.14752     1.12610     0.00064
      2.15409     1.12567     0.00064
      2.16066     1.12523     0.00064
      2.16722     1.12479     0.00064
      2.17379     1.12435     0.00064
      2.18035     1.12391     0.00064
      2.18692     1.12348     0.00064
      2.19348     1.12304     0.00064
      2.20005     1.12259     0.00064
      2.20661     1.12202     0.00064
      2.21318     1.12144     0.00064
      2.21975     1.12086     0.00064
      2.22631     1.12027     0.00064
      2.23288     1.11963     0.00064
      2.23944     1.11899     0.00064
      2.24601     1.11836     0.00064
      2.25257     1.11783     0.00049
      2.25914     1.11749     0.00012
      2.26571     1.11715    -0.00026
      2.27227     1.11681    -0.00063
      2.27884     1.11535    -0.00063
      2.28540     1.11438    -0.00062
      2.29197     1.11387    -0.00060
      2.29853     1.11290    -0.00109
      2.30510     1.11199    -0.00129
      2.31167     1.11157    -0.00102
      2.31823     1.11067    -0.00123
      2.32480     1.11087    -0.00107
      2.33136     1.10941    -0.00035
      2.33793     1.10873    -0.00037
      2.34449     1.10706    -0.00089
      2.35106     1.10695     0.00003
      2.35763     1.10710    -0.00074
      2.36419     1.10533    -0.00016
      2.37076     1.10461     0.00031
      2.37732     1.10379     0.00003
      2.38389     1.10301     0.00045
      2.39045     1.10243     0.00009
      2.39702     1.10203    -0.00026
      2.40359     1.10058     0.00043
      2.41015     1.09958     0.00084
      2.41672     1.09870     0.00004
      2.42328     1.09781     0.00028
      2.42985     1.09740     0.00053
      2.43641     1.09606     0.00096
      2.44298     1.09526     0.00088
      2.44955     1.09430     0.00138
      2.45611     1.09367     0.00085
      2.46268     1.09207     0.00144
      2.46924     1.09114     0.00141
      2.47581     1.08997     0.00196
      2.48237     1.08899     0.00178
      2.48894     1.08837     0.00125
      2.49551     1.08657     0.00170
      2.50207     1.08607     0.00167
      2.50864     1.08461     0.00187
      2.51520     1.08314     0.00171
      2.52177     1.08269     0.00194
      2.52833     1.08049     0.00215
      2.53490     1.07955     0.00228
      2.54146     1.07815     0.00279
      2.54803     1.07691     0.00202
      2.55460     1.07504     0.00248
      2.56116     1.07406     0.00291
      2.56773     1.07273     0.00305
      2.57429     1.07064     0.00328
      2.58086     1.06929     0.00298
      2.58742     1.06764     0.00318
      2.59399     1.06555     0.00359
      2.60056     1.06393     0.00369
      2.60712     1.06183     0.00349
      2.61369     1.06027     0.00389
      2.62025     1.05792     0.00409
      2.62682     1.05562     0.00401
      2.63338     1.05398     0.00434
      2.63995     1.05199     0.00480
      2.64652     1.04956     0.00488
      2.65308     1.04684     0.00547
      2.65965     1.04450     0.00557
      2.66621     1.04098     0.00564
      2.67278     1.03901     0.00593
      2.67934     1.03684     0.00626
      2.68591     1.03280     0.00684
      2.69248     1.02874     0.00697
      2.69904     1.02593     0.00809
      2.70561     1.02300     0.00814
      2.71217     1.01701     0.00778
      2.71874     1.01403     0.01052
      2.72530     1.00997     0.01292
      2.73187     1.00857     0.01364
      2.73844     1.00420     0.01295
      2.74500     0.99905     0.01320
      2.75157     0.99372     0.01474
      2.75813     0.98778     0.01594
      2.76470     0.98189     0.01838
      2.77126     0.97650     0.02000
      2.77783     0.96905     0.02252
      2.78440     0.96464     0.02572
      2.79096     0.95581     0.02817
      2.79753     0.95011     0.03212
      2.80409     0.94434     0.03629
      2.81066     0.93513     0.04041
      2.81722     0.92769     0.04532
      2.82379     0.92212     0.05100
      2.83036     0.91211     0.05753
      2.83692     0.90277     0.06446
      2.84349     0.89502     0.07256
      2.85005     0.88790     0.08158
      2.85662     0.88062     0.09184
      2.86318     0.87056     0.10362
      2.86975     0.86245     0.11612
      2.87632     0.85694     0.13062
      2.88288     0.85091     0.14612
      2.88945     0.84828     0.16283
      2.89601     0.84686     0.18029
      2.90258     0.84634     0.19735
      2.90914     0.84965     0.21505
      2.91571     0.85205     0.23260
      2.92227     0.85881     0.24937
      2.92884     0.86441     0.26552
      2.93541     0.87426     0.28169
      2.94197     0.88468     0.29693
      2.94854     0.89305     0.31073
      2.95510     0.90907     0.32413
      2.96167     0.91613     0.33594
      2.96823     0.92520     0.34813
      2.97480     0.93325     0.36042
      2.98137     0.94729     0.37254
      2.98793     0.95690     0.38413
      2.99450     0.97217     0.39800
      3.00106     0.99194     0.41122
      3.00763     1.00224     0.42365
      3.01419     1.01584     0.43597
      3.02076     1.03876     0.44880
      3.02733     1.06903     0.45894
      3.03389     1.07816     0.46887
      3.04046     1.10935     0.47606
      3.04702     1.14571     0.48116
      3.05359     1.16164     0.48452
      3.06015     1.18927     0.48417
      3.06672     1.21907     0.48217
      3.07329     1.24073     0.47812
      3.07985     1.27035     0.47112
      3.08642     1.29081     0.46358
      3.09298     1.31374     0.45466
      3.09955     1.33596     0.44376
      3.10611     1.35437     0.43307
      3.11268     1.37455     0.42064
      3.11925     1.39168     0.40769
      3.12581     1.41296     0.39394
      3.13238     1.42445     0.37980
      3.13894     1.44148     0.36515
      3.14551     1.45322     0.34888
      3.15207     1.46666     0.33304
      3.15864     1.47719     0.31587
      3.16521     1.48535     0.29860
      3.17177     1.49649     0.28094
      3.17834     1.50028     0.26282
      3.18490     1.50624     0.24443
      3.19147     1.50889     0.22654
      3.19803     1.51081     0.20899
      3.20460     1.51038     0.19080
      3.21117     1.50838     0.17363
      3.21773     1.50853     0.15663
      3.22430     1.50400     0.14019
      3.23086     1.49818     0.12437
      3.23743     1.49154     0.11007
      3.24399     1.48619     0.09637
      3.25056     1.47969     0.08346
      3.25712     1.46747     0.07261
      3.26369     1.45519     0.06227
      3.27026     1.44689     0.05381
      3.27682     1.43921     0.04636
      3.28339     1.43195     0.04050
      3.28995     1.42130     0.03465
      3.29652     1.41073     0.03026
      3.30308     1.40156     0.02634
      3.30965     1.39274     0.02274
      3.31622     1.38613     0.01995
      3.32278     1.37983     0.01761
      3.32935     1.37403     0.01551
      3.33591     1.36822     0.01331
      3.34248     1.36252     0.01207
      3.34904     1.35697     0.01076
      3.35561     1.35180     0.00952
      3.36218     1.34697     0.00837
      3.36874     1.34240     0.00747
      3.37531     1.33740     0.00645
      3.38187     1.33244     0.00558
      3.38844     1.32854     0.00535
      3.39500     1.32453     0.00442
      3.40157     1.32023     0.00402
      3.40814     1.31625     0.00383
      3.41470     1.31252     0.00314
      3.42127     1.30884     0.00322
      3.42783     1.30510     0.00284
      3.43440     1.30250     0.00250
      3.44096     1.29990     0.00235
      3.44753     1.29780     0.00246
      3.45410     1.29569     0.00214
      3.46066     1.29293     0.00227
      3.46723     1.28965     0.00208
      3.47379     1.28692     0.00186
      3.48036     1.28505     0.00175
      3.48692     1.28351     0.00194
      3.49349     1.28193     0.00160
      3.50006     1.27934     0.00190
      3.50662     1.27595     0.00138
      3.51319     1.27511     0.00169
      3.51975     1.27429     0.00164
      3.52632     1.27187     0.00169
      3.53288     1.26946     0.00147
      3.53945     1.26851     0.00154
      3.54602     1.26720     0.00164
      3.55258     1.26505     0.00182
      3.55915     1.26370     0.00188
      3.56571     1.26326     0.00134
      3.57228     1.26055     0.00146
      3.57884     1.25932     0.00176
      3.58541     1.25885     0.00141
      3.59198     1.25652     0.00183
      3.59854     1.25554     0.00180
      3.60511     1.25460     0.00190
      3.61167     1.25266     0.00180
      3.61824     1.25217     0.00202
      3.62480     1.25082     0.00195
      3.63137     1.24936     0.00188
      3.63793     1.24867     0.00172
      3.64450     1.24698     0.00199
      3.65107     1.24687     0.00186
      3.65763     1.24473     0.00166
      3.66420     1.24446     0.00192
      3.67076     1.24303     0.00186
      3.67733     1.24225     0.00209
      3.68389     1.24101     0.00217
      3.69046     1.24035     0.00235
      3.69703     1.23920     0.00232
      3.70359     1.23869     0.00218
      3.71016     1.23739     0.00237
      3.71672     1.23715     0.00240
      3.72329     1.23559     0.00252
      3.72985     1.23539     0.00249
      3.73642     1.23403     0.00241
      3.74299     1.23359     0.00265
      3.74955     1.23232     0.00279
      3.75612     1.23182     0.00297
      3.76268     1.23131     0.00277
      3.76925     1.23001     0.00312
      3.77581     1.22987     0.00295
      3.78238     1.22877     0.00314
      3.78895     1.22804     0.00323
      3.79551     1.22778     0.00325
      3.80208     1.22657     0.00341
      3.80864     1.22591     0.00337
      3.81521     1.22556     0.00363
      3.82177     1.22442     0.00369
      3.82834     1.22398     0.00384
      3.83491     1.22356     0.00402
      3.84147     1.22275     0.00398
      3.84804     1.22233     0.00419
      3.85460     1.22199     0.00411
      3.86117     1.22095     0.00434
      3.86773     1.22015     0.00437
      3.87430     1.21981     0.00470
      3.88087     1.21969     0.00449
      3.88743     1.21889     0.00488
      3.89400     1.21810     0.00491
      3.90056     1.21797     0.00501
      3.90713     1.21748     0.00499
      3.91369     1.21666     0.00523
      3.92026     1.21598     0.00540
      3.92683     1.21570     0.00548
      3.93339     1.21538     0.00568
      3.93996     1.21495     0.00577
      3.94652     1.21436     0.00595
      3.95309     1.21371     0.00603
      3.95965     1.21345     0.00599
      3.96622     1.21313     0.00607
      3.97278     1.21258     0.00630
      3.97935     1.21230     0.00647
      3.98592     1.21173     0.00634
      3.99248     1.21104     0.00669
      3.99905     1.21078     0.00689
      4.00561     1.21030     0.00681
      4.01218     1.21006     0.00700
      4.01874     1.20970     0.00738
      4.02531     1.20961     0.00729
      4.03188     1.20880     0.00752
      4.03844     1.20849     0.00782
